#loc subtype  x y z  r barPosTheta barPosPhi  orientTheta orientPhi  lrtOffset tofOffset0 tofOffset1
#VANDLE BARS
# rib 0 bars 1064 - 1063
0 small	 0.0 0.0 0.0  49.42 160 180  90.0 90.0  1.40191 123.978 0.0
1 small  0.0 0.0 0.0  49.42 155 180  90.0 90.0  -12.1055 126.557 0.0
2 small  0.0 0.0 0.0  49.42 150 180  90.0 90.0  3.31647 122.633 0.0
3 small  0.0 0.0 0.0  49.42 145 180  90.0 90.0  0.261258 125.75 0.0 
4 small  0.0 0.0 0.0  49.42 140 180  90.0 90.0  7.62671 122.691 0.0 
5 small  0.0 0.0 0.0  49.42 135 180  90.0 90.0  -12.5325 126.848 0.0 
6 small  0.0 0.0 0.0  49.42 130 180  90.0 90.0  3.80207 123.23 0.0
# rib 1 bars 1051 - 1047
7 small  0.0 0.0 0.0  49.42 125 180  90.0 90.0  -8.0643 126.469 0.0
8 small  0.0 0.0 0.0  49.42 120 180  90.0 90.0  6.57497 124.979 0.0
9 small  0.0 0.0 0.0  49.42 115 180  90.0 90.0  -12.9592 126.645 0.0
10 small  0.0 0.0 0.0  49.52 110 180  90.0 90.0  6.23744 125.119 0.0
11 small  0.0 0.0 0.0  49.62 105 180  90.0 90.0  -6.96166 125.353 0.0
12 small  0.0 0.0 0.0  49.72 100 180  90.0 90.0  4.28656 125.35 0.0
13 small  0.0 0.0 0.0  49.82 95 180  90.0 90.0  -1.70351 126.506 0.0
# rib 2 bars 1024 - 1106
14 small  0.0 0.0 0.0  49.82 90 180  90.0 90.0  3.92638 124.424 0.0
15 small  0.0 0.0 0.0  49.82 85 180  90.0 90.0  -9.21156 126.114 0.0
16 small  0.0 0.0 0.0  49.72 80 180  90.0 90.0  -0.179613 124.615 0.0
17 small  0.0 0.0 0.0  49.72 75 180  90.0 90.0  -11.8071 125.449 0.0
18 small  0.0 0.0 0.0  49.62 70 180  90.0 90.0  2.57826 126.305 0.0
19 small  0.0 0.0 0.0  49.62 65 180  90.0 90.0  -3.59831 126.535 0.0
20 small  0.0 0.0 0.0  49.52 60 180  90.0 90.0  3.4482 122.889 0.0
# rib 3 bars 1032 - 1069
21 small  0.0 0.0 0.0  49.52 55 180  90.0 90.0  -6.07694 131.249 0.0
22 small  0.0 0.0 0.0  49.32 50 180  90.0 90.0  3.5244 123.468 0.0
23 small  0.0 0.0 0.0  49.12 45 180  90.0 90.0  -2.91206 127.381 0.0
24 small  0.0 0.0 0.0  49.02 40 180  90.0 90.0  2.74296 125.634 0.0
25 small  0.0 0.0 0.0  48.92 35 180  90.0 90.0  -4.76114 126.806 0.0
26 small  0.0 0.0 0.0  48.72 30 180  90.0 90.0  1.00494 127.066 0.0
27 small  0.0 0.0 0.0  48.52 25 180  90.0 90.0  -7.64535 128.06 0.0
# rib 4 bars 1105 - 1094
28 small  0.0 0.0 0.0  50.82 75 0  90.0 90.0  3.46767 125.954 0.0
29 small  0.0 0.0 0.0  50.62 80 0  90.0 90.0  -4.30677 125.931 0.0
30 small  0.0 0.0 0.0  50.42 85 0  90.0 90.0  -0.84815 127.151 0.0
31 small  0.0 0.0 0.0  50.32 90 0  90.0 90.0  -5.13355 125.033 0.0
32 small  0.0 0.0 0.0  50.22 95 0  90.0 90.0  -4.10682 125.298 0.0
33 small  0.0 0.0 0.0  50.12 100 0  90.0 90.0  -7.94711 126.093 0.0
34 small  0.0 0.0 0.0  49.02 105 0  90.0 90.0  3.36937 123.673 0.0
# rib 5 bars 1046 - 1009
35 small  0.0 0.0 0.0  49.72 140 0  90.0 90.0  -9.11816 126.583 0.0
36 small  0.0 0.0 0.0  49.72 135 0  90.0 90.0  7.08667 122.508 0.0
37 small  0.0 0.0 0.0  49.72 130 0  90.0 90.0  -6.89119 122.809 0.0
38 small  0.0 0.0 0.0  49.82 125 0  90.0 90.0  6.35191 122.816 0.0
39 small  0.0 0.0 0.0  49.82 120 0  90.0 90.0  -11.4872 125.684 0.0
40 small  0.0 0.0 0.0  49.92 115 0  90.0 90.0  3.17057 121.335 0.0	
41 small  0.0 0.0 0.0  49.92 110 0  90.0 90.0  -8.69307 127.89 0.0

#Betas
0 beta  0.00   00.0   0.00   0.000  0.000  0.00






