#loc subtype  x y z  r barPosTheta barPosPhi  orientTheta orientPhi  lrtOffset tofOffset0 tofOffset1
#VANDLE BARS
# rib 0 bars 1064 - 1063
0 small	 0.0 0.0 0.0  49.42 160 180  90.0 90.0  5.39019 14.64621 0.0
1 small  0.0 0.0 0.0  49.42 155 180  90.0 90.0  -12.0995 15.14621 0.0
2 small  0.0 0.0 0.0  49.42 150 180  90.0 90.0  3.33819 20.35379 0.0
3 small  0.0 0.0 0.0  49.42 145 180  90.0 90.0  -7.72503 14.14621 0.0
4 small  0.0 0.0 0.0  49.42 140 180  90.0 90.0  3.6163 13.14621 0.0
5 small  0.0 0.0 0.0  49.42 135 180  90.0 90.0  -8.50553 13.14621 0.0
6 small  0.0 0.0 0.0  49.42 130 180  90.0 90.0  -0.21691 17.14621 0.0
# rib 1 bars 1051 - 1047
7 small  0.0 0.0 0.0  49.42 125 180  90.0 90.0  -8.06934 18.64621 0.0
8 small  0.0 0.0 0.0  49.42 120 180  90.0 90.0  6.55883 15.14621 0.0
9 small  0.0 0.0 0.0  49.42 115 180  90.0 90.0  -12.9713 17.14621 0.0
10 small  0.0 0.0 0.0  49.52 110 180  90.0 90.0  2.21653 13.64621 0.0
11 small  0.0 0.0 0.0  49.62 105 180  90.0 90.0  -6.95781 14.64621 0.0
12 small  0.0 0.0 0.0  49.72 100 180  90.0 90.0  4.264 18.64621 0.0
13 small  0.0 0.0 0.0  49.82 95 180  90.0 90.0  -13.7312 19.64621 0.0
# rib 2 bars 1024 - 1106
14 small  0.0 0.0 0.0  49.82 90 180  90.0 90.0  -0.0794781 15.14621 0.0
15 small  0.0 0.0 0.0  49.82 85 180  90.0 90.0  -9.20255 19.64621 0.0
16 small  0.0 0.0 0.0  49.72 80 180  90.0 90.0  7.80777 15.14621 0.0
17 small  0.0 0.0 0.0  49.72 75 180  90.0 90.0  -7.83048 14.64621 0.0
18 small  0.0 0.0 0.0  49.62 70 180  90.0 90.0  -1.41511 15.14621 0.0
19 small  0.0 0.0 0.0  49.62 65 180  90.0 90.0  -7.61175 14.64621 0.0
20 small  0.0 0.0 0.0  49.52 60 180  90.0 90.0  7.4468 15.14621 0.0
# rib 3 bars 1032 - 1069
21 small  0.0 0.0 0.0  49.52 55 180  90.0 90.0  -2.08452 18.14621 0.0
22 small  0.0 0.0 0.0  49.32 50 180  90.0 90.0  7.52781 14.64621 0.0
23 small  0.0 0.0 0.0  49.12 45 180  90.0 90.0  -10.9042 17.64621 0.0
24 small  0.0 0.0 0.0  49.02 40 180  90.0 90.0  6.7288 15.2368 0.0
25 small  0.0 0.0 0.0  48.92 35 180  90.0 90.0  -8.77601 16.39759 0.0
26 small  0.0 0.0 0.0  48.72 30 180  90.0 90.0  -3.03332 16.57218 0.0
27 small  0.0 0.0 0.0  48.52 25 180  90.0 90.0  -3.63894 14.78574 0.0
# rib 4 bars 1105 - 1094
28 small  0.0 0.0 0.0  50.82 75 0  90.0 90.0  3.44529 18.28574 0.0
29 small  0.0 0.0 0.0  50.62 80 0  90.0 90.0  -4.30014 19.28574 0.0
30 small  0.0 0.0 0.0  50.42 85 0  90.0 90.0  7.13002 17.28574 0.0
31 small  0.0 0.0 0.0  50.32 90 0  90.0 90.0  -1.11569 16.78574 0.0
32 small  0.0 0.0 0.0  50.22 95 0  90.0 90.0  3.88811 17.78574 0.0
33 small  0.0 0.0 0.0  50.12 100 0  90.0 90.0  -3.92275 17.28574 0.0
34 small  0.0 0.0 0.0  49.02 105 0  90.0 90.0  3.35549 17.28574 0.0
# rib 5 bars 1046 - 1009
35 small  0.0 0.0 0.0  49.72 140 0  90.0 90.0  -1.1014 16.28574 0.0
36 small  0.0 0.0 0.0  49.72 135 0  90.0 90.0  3.09822 13.78574 0.0
37 small  0.0 0.0 0.0  49.72 130 0  90.0 90.0  -2.88771 14.28574 0.0
38 small  0.0 0.0 0.0  49.82 125 0  90.0 90.0  2.35059 14.28574 0.0
39 small  0.0 0.0 0.0  49.82 120 0  90.0 90.0  -7.44446 12.78574 0.0
40 small  0.0 0.0 0.0  49.92 115 0  90.0 90.0  -0.843078 12.78574 0.0	
41 small  0.0 0.0 0.0  49.92 110 0  90.0 90.0  -8.69342 18.28574 0.0

#Betas
0 beta  0.00   00.0   0.00   0.000  0.000  0.00

