#loc subtype r0 xOffset zOffset lrtOffset tofOffset0 tofOffset1
#VANDLE BARS
# rib 0 bars 1064 - 1063
0 small 47.9 0.0 1.50 5.39019 14.64621 0.0
1 small 47.9 0.0 1.50 -12.0995 15.14621 0.0
2 small 47.9 0.0 1.50 3.33819 20.35379 0.0
3 small 47.9 0.0 1.50 -7.72503 14.14621 0.0
4 small 47.9 0.0 1.50 3.6163 13.14621 0.0
5 small 47.9 0.0 1.50 -8.50553 13.14621 0.0
6 small 47.9 0.0 1.50 -0.21691 17.14621 0.0
# rib 1 bars 1051 - 1047
7 small 47.9 0.0 1.50 -8.06934 18.64621 0.0
8 small 47.9 0.0 1.50 6.55883 15.14621 0.0
9 small 47.9 0.0 1.50 -12.9713 17.14621 0.0
10 small 48.0 0.0 1.50 2.21653 13.64621 0.0
11 small 48.1 0.0 1.50 -6.95781 14.64621 0.0
12 small 48.2 0.0 1.50 4.264 18.64621 0.0
13 small 48.3 0.0 1.50 -13.7312 19.64621 0.0
# rib 2 bars 1024 - 1106
14 small 48.3 0.0 1.50 -0.0794781 15.14621 0.0
15 small 48.3 0.0 1.50 -9.20255 19.64621 0.0
16 small 48.2 0.0 1.50 7.80777 15.14621 0.0
17 small 48.2 0.0 1.50 -7.83048 14.64621 0.0
18 small 48.1 0.0 1.50 -1.41511 15.14621 0.0
19 small 48.1 0.0 1.50 -7.61175 14.64621 0.0
20 small 48.0 0.0 1.50 7.4468 15.14621 0.0
# rib 3 bars 1032 - 1069
21 small 48.0 0.0 1.50 -2.08452 18.14621 0.0
22 small 47.8 0.0 1.50 7.52781 14.64621 0.0
23 small 47.6 0.0 1.50 -10.9042 17.64621 0.0
24 small 47.5 0.0 1.50 6.7288 15.2368 0.0
25 small 47.4 0.0 1.50 -8.77601 16.39759 0.0
26 small 47.2 0.0 1.50 -3.03332 16.57218 0.0
27 small 47.0 0.0 1.50 -3.63894 14.78574 0.0
# rib 4 bars 1105 - 1094
28 small 49.3 0.0 1.50 3.44529 18.28574 0.0
29 small 49.1 0.0 1.50 -4.30014 19.28574 0.0
30 small 48.9 0.0 1.50 7.13002 17.28574 0.0
31 small 48.8 0.0 1.50 -1.11569 16.78574 0.0
32 small 48.7 0.0 1.50 3.88811 17.78574 0.0
33 small 48.6 0.0 1.50 -3.92275 17.28574 0.0
34 small 48.4 0.0 1.50 3.35549 17.28574 0.0
# rib 5 bars 1046 - 1009 
35 small 48.2 0.0 1.50 -1.1014 16.28574 0.0
36 small 48.2 0.0 1.50 3.09822 13.78574 0.0
37 small 48.2 0.0 1.50 -2.88771 14.28574 0.0
38 small 48.3 0.0 1.50 2.35059 14.28574 0.0
39 small 48.3 0.0 1.50 -7.44446 12.78574 0.0
40 small 48.4 0.0 1.50 -0.843078 12.78574 0.0
41 small 48.4 0.0 1.50 -8.69342 18.28574 0.0

#Betas
0 beta  0.00   00.0   0.00   0.000  0.000  0.00
