#loc subtype r0 xOffset zOffset lrtOffset tofOffset0 tofOffset1
#VANDLE BARS
0 small 50.5 0.0 0.0 -2.54085 63.062 9.9
1 small 50.5 0.0 0.0 -12.1602 63.887 9.9
2 small 50.5 0.0 0.0 3.30509 63.9421 9.9
3 small 50.5 0.0 0.0 -7.05467 66.4399 9.9
4 small 50.5 0.0 0.0 7.58176 63.6447 9.9
5 small 50.5 0.0 0.0 -4.52219 63.5846 9.9
6 small 50.5 0.0 0.0 -0.226475 65.5949 9.9
7 small 50.5 0.0 0.0 -8.09665 62.7539 9.9
8 small 50.5 0.0 0.0 2.51944 63.404 9.9
9 small 50.5 0.0 0.0 -4.95052 63.5458 9.9
10 small 50.5 0.0 0.0 2.20192 68.0779 9.9
11 small 50.5 0.0 0.0 -10.9778 63.358 9.9
12 small 50.5 0.0 0.0 0.238073 67.1256 9.9
13 small 50.5 0.0 0.0 -5.66261 64.3918 9.9
14 small 50.5 0.0 0.0 -0.0865473 65.4591 9.9
15 small 50.5 0.0 0.0 -13.2444 64.3192 9.9
16 small 50.5 0.0 0.0 7.76736 64.7027 9.9
17 small 50.5 0.0 0.0 -11.838 66.334 9.9
18 small 50.5 0.0 0.0 -1.43038 64.685 9.9
19 small 50.5 0.0 0.0 -7.62431 64.4786 9.9
20 small 50.5 0.0 0.0 3.42194 66.6689 9.9
21 small 50.5 0.0 0.0 -2.17426 67.6669 9.9
22 small 50.5 0.0 0.0 3.52145 66.567 9.9
23 small 50.5 0.0 0.0 -6.99201 61.1822 9.9
24 small 50.5 0.0 0.0 -1.26283 64.1856 9.9
25 small 50.5 0.0 0.0 -8.74999 68.7509 9.9
26 small 50.5 0.0 0.0 -2.90774 65.115 9.9
27 small 50.5 0.0 0.0 -3.65177 63.2396 9.9
28 small 50.5 0.0 0.0 3.43644 63.1625 9.9
29 small 50.5 0.0 0.0 -4.30882 63.6273 9.9
30 small 50.5 0.0 0.0 -0.880337 65.5846 9.9
31 small 50.5 0.0 0.0 -9.20878 65.1644 9.9
32 small 50.5 0.0 0.0 3.72624 61.3086 9.9
33 small 50.5 0.0 0.0 -11.9508 64.4735 9.9
34 small 50.5 0.0 0.0 3.31674 60.9281 9.9
35 small 50.5 0.0 0.0 -8.88723 63.7181 9.9
36 small 50.5 0.0 0.0 7.3551 63.3496 9.9
37 small 50.5 0.0 0.0 -6.95852 67.5583 9.9
38 small 50.5 0.0 0.0 2.83904 61.4889 9.9
39 small 50.5 0.0 0.0 -8.28693 67.6803 9.9
40 small 50.5 0.0 0.0 7.28457 64.4975 9.9
41 small 50.5 0.0 0.0 -8.56093 64.6279 9.9

#Betas
0 beta  1.27   00.0   0.00   0.000  0.000  0.00
